# Соответствие регистрационной зоны MCU
# ячейке а.з. и участку ТВС по высоте
RegZone	Cell	Pitch
1157	3-2	7
1158	3-2	8
1159	3-2	9
1160	4-4	0
1161	4-4	1
1162	4-4	2
1163	4-4	3
1164	4-4	4
1165	4-4	5
1166	4-4	6
1167	4-4	7
1168	4-4	8
1169	4-4	9
1170	5-5	0
1171	5-5	1
1172	5-5	2
1173	5-5	3
1174	5-5	4
1175	5-5	5
1176	5-5	6
1177	5-5	7
1178	5-5	8
1179	5-5	9
1180	6-6	0
1181	6-6	1
1182	6-6	2
1183	6-6	3
1184	6-6	4
1185	6-6	5
1186	6-6	6
1187	6-6	7
1188	6-6	8
1189	6-6	9
1190	7-7	0
1191	7-7	1
1192	7-7	2
1193	7-7	3
1194	7-7	4
1195	7-7	5
1196	7-7	6
1197	7-7	7
1198	7-7	8
1199	7-7	9
1200	8-7	0
1201	8-7	1
1202	8-7	2
1203	8-7	3
1204	8-7	4
1205	8-7	5
1206	8-7	6
1207	8-7	7
1208	8-7	8
1209	8-7	9
1210	9-8	0
1211	9-8	1
1212	9-8	2
1213	9-8	3
1214	9-8	4
1215	9-8	5
1216	9-8	6
1217	9-8	7
1218	9-8	8
1219	9-8	9
1220	10-9	0
1221	10-9	1
1222	10-9	2
1223	10-9	3
1224	10-9	4
1225	10-9	5
1226	10-9	6
1227	10-9	7
1228	10-9	8
1229	10-9	9
1230	11-9	0
1231	11-9	1
1232	11-9	2
1233	11-9	3
1234	11-9	4
1235	11-9	5
1236	11-9	6
1237	11-9	7
1238	11-9	8
1239	11-9	9
1240	12-9	0
1241	12-9	1
1242	12-9	2
1243	12-9	3
1244	12-9	4
1245	12-9	5
1246	12-9	6
1247	12-9	7
1248	12-9	8
1249	12-9	9
1250	13-10	0
1251	13-10	1
1252	13-10	2
1253	13-10	3
1254	13-10	4
1255	13-10	5
1256	13-10	6
1257	13-10	7
1258	13-10	8
1259	13-10	9
1260	14-10	0
1261	14-10	1
1262	14-10	2
1263	14-10	3
1264	14-10	4
1265	14-10	5
1266	14-10	6
1267	14-10	7
1268	14-10	8
1269	14-10	9
1270	15-10	0
1271	15-10	1
1272	15-10	2
1273	15-10	3
1274	15-10	4
1275	15-10	5
1276	15-10	6
1277	15-10	7
1278	15-10	8
1279	15-10	9
1280	16-10	0
1281	16-10	1
1282	16-10	2
1283	16-10	3
1284	16-10	4
1285	16-10	5
1286	16-10	6
1287	16-10	7
1288	16-10	8
1289	16-10	9
1290	17-9	0
1291	17-9	1
1292	17-9	2
1293	17-9	3
1294	17-9	4
1295	17-9	5
1296	17-9	6
1297	17-9	7
1298	17-9	8
1299	17-9	9
1300	18-9	0
1301	18-9	1
1302	18-9	2
1303	18-9	3
1304	18-9	4
1305	18-9	5
1306	18-9	6
1307	18-9	7
1308	18-9	8
1309	18-9	9
1310	2-2	0
1311	2-2	1
1312	2-2	2
1313	2-2	3
1314	2-2	4
1315	2-2	5
1316	2-2	6
1317	2-2	7
1318	2-2	8
1319	2-2	9
1320	3-3	0
1321	3-3	1
1322	3-3	2
1323	3-3	3
1324	3-3	4
1325	3-3	5
1326	3-3	6
1327	3-3	7
1328	3-3	8
1329	3-3	9
1330	4-5	0
1331	4-5	1
1332	4-5	2
1333	4-5	3
1334	4-5	4
1335	4-5	5
1336	4-5	6
1337	4-5	7
1338	4-5	8
1339	4-5	9
1340	5-6	0
1341	5-6	1
1342	5-6	2
1343	5-6	3
1344	5-6	4
1345	5-6	5
1346	5-6	6
1347	5-6	7
1348	5-6	8
1349	5-6	9
1350	6-7	0
1351	6-7	1
1352	6-7	2
1353	6-7	3
1354	6-7	4
1355	6-7	5
1356	6-7	6
1357	6-7	7
1358	6-7	8
1359	6-7	9
1360	7-8	0
1361	7-8	1
1362	7-8	2
1363	7-8	3
1364	7-8	4
1365	7-8	5
1366	7-8	6
1367	7-8	7
1368	7-8	8
1369	7-8	9
